"comparison","spearman_rho","complete_priority_score_cells","excluded_incomplete_cells","scenario_a_weights","scenario_b_weights","rank_tie_treatment","software_function","same_cell_criterion","exclusion_note"
"Equal weights vs. recency-emphasized weights",0.9489,58,1,"R 0.20; S 0.20; N 0.20; M 0.20; T 0.20","R 0.40; S 0.15; N 0.15; M 0.15; T 0.15","Spearman ranks; average tied ranks","R stats::cor(method = ""spearman"", use = ""complete.obs"")","Same 58 complete priority-score cells","One of the 59 documented generalized cells lacked dated evidence and was excluded from all composite-priority sensitivity comparisons."
"Equal weights vs. sampling-emphasized weights",0.9905,58,1,"R 0.20; S 0.20; N 0.20; M 0.20; T 0.20","R 0.20; S 0.35; N 0.20; M 0.15; T 0.10","Spearman ranks; average tied ranks","R stats::cor(method = ""spearman"", use = ""complete.obs"")","Same 58 complete priority-score cells","One of the 59 documented generalized cells lacked dated evidence and was excluded from all composite-priority sensitivity comparisons."
"Recency-emphasized vs. sampling-emphasized weights",0.941,58,1,"R 0.40; S 0.15; N 0.15; M 0.15; T 0.15","R 0.20; S 0.35; N 0.20; M 0.15; T 0.10","Spearman ranks; average tied ranks","R stats::cor(method = ""spearman"", use = ""complete.obs"")","Same 58 complete priority-score cells","One of the 59 documented generalized cells lacked dated evidence and was excluded from all composite-priority sensitivity comparisons."
