"rounding_decimals","metric","value"
3,"coordinate_date_groups_quality_pass",383
3,"coordinate_date_groups_representatives",383
4,"coordinate_date_groups_quality_pass",678
4,"coordinate_date_groups_representatives",678
5,"coordinate_date_groups_quality_pass",801
5,"coordinate_date_groups_representatives",801
