original_name,accepted_name,taxonomic_status,source_used,number_of_records,decision,notes
Aniba compacta A.C.Sm.,Aniba perutilis Hemsl.,resolved_to_Aniba_perutilis,"GBIF accepted-name/species-key fields cross-checked against POWO, WFO, IPNI, Tropicos, and SiB Colombia",3,retain as synonym resolved to Aniba perutilis,Aniba compacta is treated as a synonym of Aniba perutilis by the consulted taxonomic sources.
Aniba perutilis Hemsl.,Aniba perutilis Hemsl.,resolved_to_Aniba_perutilis,"GBIF accepted-name/species-key fields cross-checked against POWO, WFO, IPNI, Tropicos, and SiB Colombia",1567,retain as accepted species concept,No unresolved name remained.
